t,phi,phi',phi'',theta,theta',theta'',alpha,alpha',alpha'',psi,psi',psi'',X,Y,Z
0,0,0,1.7187304446275e-13,1.5707963267949,0,14.7356214572293,1.5707963267949,0,3.63746926156506e-13,0,0,-1.11727906683239e-12,0,0,0
3.40927111744121e-06,9.98851331094758e-25,5.85961806353543e-19,1.71873044532596e-13,1.57079632688054,5.02377286316789e-05,14.735621458538,1.5707963267949,1.2401118894034e-18,3.63746926183874e-13,-6.49313967005415e-24,-3.80910725267333e-18,-1.11727906666036e-12,6.59702990469263e-25,-8.70072109127548e-12,0
6.81854223488242e-06,3.99540532519085e-24,1.17192361318333e-18,1.71873044742134e-13,1.57079632713745,0.000100475457272281,14.7356214624642,1.5707963267949,2.48022377899341e-18,3.6374692626598e-13,-2.59725586782171e-23,-7.61821450417369e-18,-1.11727906614428e-12,2.63881196172605e-24,-3.48028843666474e-11,0
1.02278133523236e-05,8.98966198472375e-24,1.75788542096562e-18,1.71873045091363e-13,1.57079632756563,0.000150713185930731,14.7356214690079,1.5707963267949,3.72033566895665e-18,3.63746926402825e-13,-5.84382570184902e-23,-1.14273217533281e-17,-1.11727906528414e-12,5.93732691331733e-24,-7.83064898307523e-11,0
1.36370844697648e-05,1.59816213137526e-23,2.34384723017664e-18,1.71873047163458e-13,1.57079632816509,0.000200950914615952,14.7356215078337,1.5707963267949,4.96044755947974e-18,3.63746927214766e-13,-1.03890234680876e-22,-1.52364289989635e-17,-1.11727906018065e-12,1.05552478444881e-23,-1.39211537491318e-10,0
3.06834400569709e-05,8.09069582570623e-23,5.27365631433155e-18,1.71873050679035e-13,1.5707963337315,0.000452139558755949,14.7356215737067,1.5707963267949,1.11610070270244e-17,3.63746928592328e-13,-5.25944312194656e-22,-3.42819651333026e-17,-1.11727905152192e-12,5.3435942126837e-23,-7.04758409428797e-10,0
4.7729795644177e-05,1.95774863480244e-22,8.20346550564208e-18,1.71873058711313e-13,1.57079634357976,0.00070332820490377,14.7356217242111,1.5707963267949,1.73615665365575e-17,3.63746931739738e-13,-1.2726553689622e-21,-5.33275010037216e-17,-1.11727903173874e-12,1.29301785596663e-22,-1.70534133936878e-09,0
6.4776151231383e-05,3.60585339317303e-22,1.11332748636391e-17,1.71873070235887e-13,1.57079635770986,0.000954516854174873,14.7356219401523,1.5707963267949,2.35621261114059e-17,3.63746936255589e-13,-2.34402339923496e-21,-7.23730364635983e-17,-1.11727900335417e-12,2.38152777819828e-22,-3.14096033175458e-09,0
8.18225068185891e-05,5.7533838911703e-22,1.40630844478536e-17,1.71873130419784e-13,1.57079637612182,0.00120570550768471,14.7356230678455,1.5707963267949,2.97626857748966e-17,3.63746959838383e-13,-3.74004839476498e-21,-9.14185713663104e-17,-1.11727885512363e-12,3.79988918173436e-22,-5.01161539296137e-09,0
0.000167054284754619,2.39824243579851e-21,2.87121378457704e-17,1.71873226690751e-13,1.57079653240939,0.00246164887785605,14.7356248717183,1.5707963267949,6.07654862384273e-17,3.63746997561752e-13,-1.55900273876394e-20,-1.86646232390621e-16,-1.11727861801209e-12,1.58394679310466e-21,-2.08904322306991e-08,0
0.00025228606269065,5.46971191736665e-21,4.33612058287637e-17,1.71873441467048e-13,1.57079679574325,0.00371759252131459,14.7356288960788,1.5707963267949,9.17682924170586e-17,3.63747081721015e-13,-3.55564278376141e-20,-2.81873857492472e-16,-1.11727808902674e-12,3.61253315989005e-21,-4.76451529526588e-08,0
0.00033751784062668,9.78974839405434e-21,5.80102958382119e-17,1.71873743550985e-13,1.57079716612344,0.00497353657749272,14.7356345563605,1.5707963267949,1.22771107226677e-16,3.6374720009166e-13,-6.36392459018988e-20,-3.77101428344061e-16,-1.11727734500647e-12,6.46574772831673e-21,-8.52757805290949e-08,0
0.00042274961856271,1.53583540603373e-20,7.26594153155073e-17,1.71875290065038e-13,1.57079764355,0.00622948118582302,14.7356635340616,1.5707963267949,1.53773933583189e-16,3.63747806096466e-13,-9.98384761755903e-20,-4.72328926617569e-16,-1.11727353601601e-12,1.01435900901986e-20,-1.33782319137685e-07,0
0.000848908508242862,6.19300414427861e-20,1.45905715171296e-16,1.71877738770845e-13,1.57080163638056,0.0125092173899439,14.7357094164109,1.5707963267949,3.0878834063027e-16,3.63748765637836e-13,-4.02580512156438e-19,-9.48464687837179e-16,-1.11726750498133e-12,4.09021874558436e-20,-5.39453998475958e-07,0
0.00127506739792301,1.39716652426353e-19,2.19153867946144e-16,1.71883178125203e-13,1.57080830538332,0.018788988312917,14.7358113353297,1.5707963267949,4.63803473756681e-16,3.63750897138449e-13,-9.08231144423451e-19,-1.42459588541468e-15,-1.11725410819536e-12,9.22763446951147e-20,-1.21702483491462e-06,0
0.00170122628760316,2.48719174858965e-19,2.92404803860361e-16,1.71890800334033e-13,1.57081765057677,0.0250688113843445,14.7359541542211,1.5707963267949,6.18819697519631e-16,3.63753884167014e-13,-1.61678793997547e-18,-1.90072022831542e-15,-1.11723533533551e-12,1.64265878058926e-19,-2.16649670903283e-06,0
0.00212738517728332,3.88938993024023e-19,3.65659453179312e-16,1.71913201628906e-13,1.57082967198685,0.031348704034398,14.7363738855329,1.5707963267949,7.73837376543595e-16,3.63762664205561e-13,-2.52824748943619e-18,-2.37683542545071e-15,-1.11718016435561e-12,2.56870530054699e-19,-3.38787225608453e-06,0
0.00337738517728332,9.80319922034806e-19,5.80558645024029e-16,1.71944727111929e-13,1.57088037064816,0.0497693154742309,14.736964559219,1.5707963267949,1.22854372086152e-15,3.63775022753167e-13,-6.37209019308774e-18,-3.77329169217441e-15,-1.1171025244741e-12,6.47407473487917e-19,-8.53886649488246e-06,0
0.00462738517728332,1.84036203830054e-18,7.95521270959134e-16,1.72004870741242e-13,1.57095409577073,0.0681911154324456,14.7380913884118,1.5707963267949,1.68327493342651e-15,3.63798606888922e-13,-1.19614116188405e-17,-5.16959173663595e-15,-1.11695441236e-12,1.21529163345886e-18,-1.60293538574564e-05,0
0.00587738517728332,2.96915931573983e-18,1.01057082187713e-15,1.72083811922326e-13,1.57105084911527,0.0866145439452603,14.7395703069608,1.5707963267949,2.13804023808382e-15,3.63829577314486e-13,-1.92959803467702e-17,-6.56567772307442e-15,-1.11676002580659e-12,1.96050552602433e-18,-2.58595132279407e-05,0
0.00712738517728332,4.36683510246606e-18,1.22573080076495e-15,1.72157998012914e-13,1.57117063299259,0.105040041199847,14.7409600600105,1.5707963267949,2.59284887671273e-15,3.63858695620816e-13,-2.83754926402037e-17,-7.96149180115243e-15,-1.11657736349771e-12,2.8830261993153e-18,-3.80295793846551e-05,0
0.00784553888296249,5.29150370347182e-18,1.34940422362856e-15,1.72244129654871e-13,1.57124986937407,0.115627019112639,14.7425734813337,1.5707963267949,2.85417007821352e-15,3.63892520514439e-13,-3.43809756067452e-17,-8.76327359871992e-15,-1.11636530887736e-12,3.49322157573237e-18,-4.60800010325599e-05,0
0.00856369258864166,6.30500604179528e-18,1.47312632075121e-15,1.72315015056754e-13,1.57133670915535,0.126214908753582,14.7439012067858,1.5707963267949,3.11551040086548e-15,3.6392037410373e-13,-4.09622187722324e-17,-9.56493556807633e-15,-1.11619080833229e-12,4.16192638887228e-18,-5.49029286081946e-05,0
0.00928184629432083,7.40737867620174e-18,1.5969015568429e-15,1.72392119079256e-13,1.57143115302119,0.13680379368828,14.7453453143003,1.5707963267949,3.37687160868301e-15,3.63950686527146e-13,-4.81191321392136e-17,-1.03664667292176e-14,-1.11600101650842e-12,4.88913383255282e-18,-6.44984316839293e-05,0
0.01,8.59866137292661e-18,1.72073439904451e-15,1.72432226168773e-13,1.57153320171639,0.147393757511549,14.7460964686578,1.5707963267949,3.63825546929338e-15,3.63966458076236e-13,-5.58516178229814e-17,-1.11678560991708e-14,-1.11590229726e-12,5.67483650231782e-18,-7.48665859305158e-05,0
0.01,8.59866137292661e-18,1.72073439904451e-15,6.45930496283266e-16,1.57153320171639,0.147393757511549,0.0126719019239996,1.5707963267949,3.63825546929338e-15,3.63821258937332e-13,-5.58516178229814e-17,-1.11678560991708e-14,-1.11569526353393e-12,5.67483650231782e-18,-7.48665859305158e-05,0
0.01125,1.07500723906847e-17,1.72154181216486e-15,6.90540348004409e-16,1.57171745344652,0.147409597388954,0.0140801996819206,1.5707963267949,4.09303204296505e-15,3.63821394479027e-13,-7.06830749023894e-17,-1.25624751785882e-14,-1.11569513269234e-12,7.18189311285922e-18,-9.35865989666977e-05,0
0.0125,1.29025623724051e-17,1.72246074991452e-15,7.797769541818e-16,1.57190172717689,0.147428958010754,0.0168969803994279,1.5707963267949,4.54780895549095e-15,3.63821682765245e-13,-8.72578056331645e-17,-1.39570939309017e-14,-1.11569484592425e-12,8.86610628798946e-18,-0.000112308847234579,0
0.01375,1.50562707503949e-17,1.72349125455032e-15,8.6904990564384e-16,1.5720860273087,0.147451839839953,0.0197141652032662,1.5707963267949,5.00258624987816e-15,3.63822005482456e-13,-1.05575809567225e-16,-1.53517122933988e-14,-1.11569450897641e-12,1.07274758961949e-17,-0.000131033777898099,0
0.015,1.72113370145889e-17,1.72463337467863e-15,9.5836428242086e-16,1.57227035824383,0.147478243423762,0.0225318214650327,1.5707963267949,5.45736396919709e-15,3.63822362683682e-13,-1.25637086178093e-16,-1.67463302033427e-14,-1.11569412182849e-12,1.27660017854105e-17,-0.000149761838185345,0
0.01625,1.93679007175498e-17,1.72588716525637e-15,1.04772516527533e-15,1.57245472438493,0.147508169393615,0.0253500165660614,1.5707963267949,5.91214215658736e-15,3.63822754428586e-13,-1.47441634860857e-16,-1.81409475979701e-14,-1.11569368445915e-12,1.49816837830022e-17,-0.000168493475399248,0
0.0175,2.15261014831018e-17,1.72725268759182e-15,1.13713763721468e-15,1.57263913013533,0.147541618465177,0.0281688179028406,1.5707963267949,6.36692085526855e-15,3.63823180785754e-13,-1.7098945493214e-16,-1.95355644144906e-14,-1.1156931968433e-12,1.7374521695748e-17,-0.000187229136928282,0
0.01875,2.36860790183414e-17,1.72873000934941e-15,1.22660678409e-15,1.57282357989937,0.147578591438372,0.0309882928908101,1.5707963267949,6.82170010855175e-15,3.63823641830859e-13,-1.96280545630036e-16,-2.09301805900783e-14,-1.11569265895106e-12,1.99445153098156e-17,-0.000205969270257157,0
0.02,2.58479731197613e-17,1.73031920455204e-15,1.27135616210921e-15,1.57300807808253,0.147619089197404,0.0323982072255146,1.5707963267949,7.2764799598457e-15,3.63823881035162e-13,-2.23314906114088e-16,-2.23247960618682e-14,-1.11569237743192e-12,2.26916643907379e-17,-0.000224714322977529,0
0.02,2.58479731197613e-17,1.73031920455204e-15,-1.15859236262752e-14,1.57300807808253,0.147619089197404,0.0438767702536591,1.5707963267949,7.2764799598457e-15,-2.99951465626269e-12,-2.23314906114088e-16,-2.23247960618682e-14,1.15619325254264e-11,2.26916643907379e-17,-0.000224714322977529,0
